id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
532,2015/2/7,shot,toy weapon,26,M,W,Calimesa,CA,FALSE,attack,Not fleeing,FALSE
554,2015/2/7,shot,gun,74,M,B,Gastonia,NC,FALSE,attack,Not fleeing,FALSE
131,2015/2/8,shot,gun,33,M,W,Anchorage,AK,FALSE,attack,Car,FALSE
132,2015/2/8,shot,gun,27,M,W,Austin,TX,FALSE,attack,Not fleeing,FALSE
133,2015/2/8,shot,gun,57,M,W,New City,NY,TRUE,attack,Not fleeing,FALSE
134,2015/2/8,shot,gun,46,M,W,Orange County,FL,FALSE,attack,Not fleeing,FALSE
135,2015/2/8,shot,gun,41,M,W,Nocona,TX,FALSE,attack,Not fleeing,FALSE
136,2015/2/9,shot,gun,61,M,W,Smyrna,ME,TRUE,undetermined,Not fleeing,FALSE
137,2015/2/9,shot,gun,45,M,B,Dallas,TX,FALSE,attack,Not fleeing,FALSE
139,2015/2/10,shot,gun,49,M,B,Whitehaven,TN,FALSE,attack,Not fleeing,FALSE
140,2015/2/10,shot,gun,45,M,W,New Castle,CO,TRUE,attack,Car,FALSE
138,2015/2/10,shot and Tasered,unarmed,35,M,H,Pasco,WA,TRUE,other,Foot,FALSE
141,2015/2/11,shot,knife,23,M,B,San Jose,CA,TRUE,other,Not fleeing,FALSE
142,2015/2/11,shot,toy weapon,46,M,W,Dadeville,AL,TRUE,attack,Foot,TRUE
145,2015/2/13,shot,,23,M,W,San Bernardino,CA,FALSE,attack,Car,FALSE
146,2015/2/13,shot,gun,21,M,H,Kansas City,KS,FALSE,attack,Car,FALSE
147,2015/2/13,shot,unarmed,35,M,H,Reading,PA,FALSE,other,Not fleeing,FALSE
148,2015/2/13,shot,gun,27,M,W,McLemoresville,TN,FALSE,attack,Not fleeing,FALSE
154,2015/2/13,shot,knife,37,M,H,San Manuel,AZ,TRUE,other,Not fleeing,FALSE
149,2015/2/14,shot,gun,16,M,W,Essex,MD,TRUE,attack,Car,FALSE
155,2015/2/14,shot,gun,51,M,W,Laredo,TX,FALSE,attack,Not fleeing,FALSE
151,2015/2/15,shot,gun,34,M,W,Iuka,MS,FALSE,attack,Foot,FALSE
153,2015/2/15,shot,hatchet,34,M,W,Colton,OR,TRUE,other,Not fleeing,FALSE
150,2015/2/15,shot and Tasered,unarmed,25,M,B,Miami Gardens,FL,TRUE,other,Not fleeing,FALSE
156,2015/2/16,shot,gun,56,M,W,Marana,AZ,FALSE,attack,Not fleeing,FALSE
157,2015/2/16,shot,gun,26,M,W,Boise,ID,FALSE,attack,Not fleeing,FALSE
158,2015/2/16,shot,toy weapon,24,M,W,Provo,UT,TRUE,attack,Not fleeing,FALSE
130,2015/2/17,shot,gun,43,F,W,Gaston County,NC,FALSE,attack,Not fleeing,FALSE
159,2015/2/17,shot,unarmed,31,M,W,Springfield,MO,FALSE,other,Foot,FALSE
160,2015/2/17,shot,gun,32,M,W,Eaton Rapids Township,MI,FALSE,attack,Not fleeing,FALSE
161,2015/2/17,shot,toy weapon,30,M,W,Tewksbury,MA,FALSE,attack,Foot,FALSE
162,2015/2/17,shot,,50,M,H,Del Rio,TX,FALSE,other,Not fleeing,FALSE
163,2015/2/18,shot,undetermined,20,F,B,Charlotte,NC,TRUE,other,Not fleeing,FALSE
165,2015/2/20,shot,unarmed,31,M,H,Euless,TX,FALSE,other,Not fleeing,FALSE
166,2015/2/20,shot,gun,38,M,B,Homewood,AL,FALSE,attack,Not fleeing,FALSE
255,2015/2/20,shot,gun,77,M,B,Birmingham,AL,TRUE,attack,Not fleeing,FALSE
584,2015/2/20,shot,gun,,M,H,Houston,TX,FALSE,attack,Car,FALSE
167,2015/2/21,shot,gun,41,M,W,Ruidoso,NM,FALSE,attack,Not fleeing,FALSE
168,2015/2/21,shot,knife,51,M,W,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE
170,2015/2/22,shot,gun,50,M,W,Palm Bay,FL,FALSE,attack,Not fleeing,FALSE
172,2015/2/23,shot,gun,47,M,W,Denham Springs,LA,TRUE,attack,Not fleeing,FALSE
174,2015/2/23,shot,knife,37,M,W,Powder Springs,GA,FALSE,other,Not fleeing,FALSE
175,2015/2/23,shot,gun,41,M,W,Clarkesville,GA,FALSE,attack,Foot,FALSE
176,2015/2/23,shot,gun,16,M,B,Millbrook,AL,FALSE,attack,Not fleeing,FALSE
266,2015/2/23,shot and Tasered,knife,42,M,W,Allentown,PA,FALSE,attack,Car,FALSE
371,2015/2/23,shot and Tasered,unarmed,39,M,W,Omaha,NE,FALSE,other,Not fleeing,FALSE
177,2015/2/24,shot and Tasered,knife,30,M,W,Green Bay,WI,TRUE,attack,Not fleeing,FALSE
178,2015/2/25,shot,,27,M,B,Oklahoma City,OK,FALSE,other,Car,FALSE
179,2015/2/25,shot,gun,43,M,W,Las Vegas,NV,TRUE,attack,Not fleeing,FALSE
181,2015/2/26,shot,gun,42,M,H,Lakeland,FL,FALSE,attack,Foot,FALSE
182,2015/2/26,shot,knife,21,M,H,San Francisco,CA,FALSE,other,Not fleeing,FALSE
183,2015/2/26,shot,unarmed,49,M,W,Gulfport,MS,FALSE,other,Not fleeing,FALSE
184,2015/2/26,shot,gun,34,F,W,Sylvester,GA,FALSE,attack,Car,FALSE
180,2015/2/26,shot and Tasered,unarmed,31,M,W,Terre Haute,IN,FALSE,other,Not fleeing,FALSE
185,2015/2/27,shot,unarmed,27,M,H,Santa Ana,CA,FALSE,undetermined,Not fleeing,FALSE
186,2015/2/28,shot,gun,24,M,W,Pelzer,SC,FALSE,attack,Not fleeing,FALSE
188,2015/2/28,shot,unarmed,34,M,B,St Louis,MO,FALSE,other,Car,FALSE
189,2015/2/28,shot,knife,28,F,H,Tucson,AZ,FALSE,other,Not fleeing,FALSE
190,2015/2/28,shot,gun,28,M,B,Columbia,MO,FALSE,attack,Car,FALSE
191,2015/2/28,shot,gun,40,M,B,Tarboro,NC,TRUE,attack,Car,FALSE
192,2015/2/28,shot,gun,37,F,W,La Paz County,AZ,FALSE,attack,Car,FALSE
187,2015/2/28,shot and Tasered,unarmed,17,M,W,Roxand Township,MI,FALSE,attack,Not fleeing,TRUE
195,2015/3/1,shot,gun,35,M,A,Houston,TX,FALSE,attack,Not fleeing,FALSE
268,2015/3/1,shot,gun,49,M,W,Barton,MS,FALSE,attack,Not fleeing,FALSE
194,2015/3/1,shot and Tasered,unarmed,43,M,B,Los Angeles,CA,TRUE,attack,Not fleeing,TRUE
196,2015/3/2,shot,gun,20,M,B,Joilet,IL,FALSE,other,Foot,FALSE
197,2015/3/3,shot,gun,25,M,B,Salisbury,MD,FALSE,attack,Not fleeing,FALSE
198,2015/3/3,shot,knife,25,M,W,Tempe,AZ,FALSE,attack,Not fleeing,FALSE
199,2015/3/4,shot,unarmed,26,M,W,Deltona,FL,FALSE,other,Not fleeing,FALSE
249,2015/3/4,shot,gun,28,M,A,Stockton,CA,FALSE,attack,Not fleeing,FALSE
200,2015/3/5,shot,knife,45,M,B,Milwaukee,WI,TRUE,other,Not fleeing,FALSE
201,2015/3/5,shot,unarmed,36,M,H,Burbank,CA,FALSE,other,Car,FALSE
202,2015/3/5,shot,gun,34,M,W,Lincoln,NE,FALSE,attack,Not fleeing,FALSE
203,2015/3/6,shot,unarmed,19,M,B,Madison,WI,FALSE,attack,Foot,FALSE
269,2015/3/6,shot,unarmed,37,M,B,Aurora,CO,FALSE,undetermined,Foot,FALSE
270,2015/3/6,shot,,48,M,B,Putnam Hall,FL,FALSE,other,Not fleeing,FALSE
271,2015/3/7,shot,gun,29,M,W,Phoenix,AZ,FALSE,attack,Not fleeing,FALSE
204,2015/3/8,shot,knife,43,F,B,Anaheim,CA,TRUE,other,Not fleeing,TRUE
272,2015/3/8,shot,gun,40,M,H,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE
273,2015/3/8,shot,,35,M,W,Claymont,DE,FALSE,attack,Car,FALSE
205,2015/3/9,shot,unarmed,27,M,B,Atlanta,GA,TRUE,other,Not fleeing,FALSE
274,2015/3/9,shot,gun,58,M,W,Brevard,NC,FALSE,attack,Not fleeing,FALSE
275,2015/3/9,shot,gun,46,M,W,Dinosaur,CO,FALSE,attack,Not fleeing,FALSE
276,2015/3/9,shot,gun,30,M,B,Cocoa,FL,FALSE,attack,Not fleeing,FALSE
206,2015/3/10,shot,gun,64,M,B,Cleveland,OH,FALSE,attack,Not fleeing,TRUE
278,2015/3/10,shot,gun,31,M,B,Baton Rouge,LA,FALSE,attack,Not fleeing,FALSE
536,2015/3/10,shot,knife,23,M,W,Port Wentworth,GA,FALSE,attack,Not fleeing,TRUE
883,2015/3/10,shot,sword,37,M,H,Ontario,CA,TRUE,other,Car,FALSE
248,2015/3/11,shot,,37,M,B,Elkton,MD,FALSE,other,Not fleeing,FALSE
277,2015/3/11,shot,gun,31,M,W,Memphis,TN,TRUE,attack,Not fleeing,FALSE
279,2015/3/11,shot,gun,39,M,H,Santa Ana,CA,FALSE,attack,Not fleeing,FALSE
281,2015/3/11,shot,toy weapon,31,M,W,Kingman,AZ,TRUE,attack,Not fleeing,FALSE
307,2015/3/11,shot,gun,54,M,W,Bay Minette,AL,FALSE,attack,Not fleeing,FALSE
581,2015/3/11,shot,gun,53,M,W,Hoover,AL,TRUE,attack,Not fleeing,FALSE
796,2015/3/11,shot,,25,M,H,Los Angeles,CA,FALSE,other,Not fleeing,FALSE
282,2015/3/12,shot,unarmed,35,M,B,Washington,DC,TRUE,other,Not fleeing,FALSE
207,2015/3/13,shot,gun,41,M,H,Napa,CA,FALSE,other,Other,FALSE
283,2015/3/13,shot,gun,59,M,W,Kansas City,MO,FALSE,attack,Not fleeing,FALSE
289,2015/3/13,shot,knife,36,M,W,Fontana,CA,FALSE,attack,Not fleeing,FALSE
351,2015/3/13,shot,unarmed,32,M,H,Walnut Creek,CA,FALSE,other,Foot,FALSE
208,2015/3/14,shot,knife,53,M,W,Follansbee,WV,FALSE,other,Not fleeing,FALSE
209,2015/3/14,shot,gun,26,M,W,Kenosha,WI,FALSE,attack,Car,FALSE
287,2015/3/14,shot,gun,29,M,H,San Antonio,TX,TRUE,attack,Not fleeing,FALSE
210,2015/3/15,shot,machete,27,M,W,Ruth,MS,FALSE,other,Not fleeing,FALSE
212,2015/3/16,shot,gun,28,M,W,St. Paul,MN,TRUE,attack,Not fleeing,FALSE
213,2015/3/16,shot,gun,52,M,W,Gastonia,NC,TRUE,attack,Not fleeing,FALSE
216,2015/3/17,shot,gun,49,M,W,Medford,OR,TRUE,attack,Not fleeing,FALSE
217,2015/3/17,shot,gun,24,M,W,Dublin,NC,FALSE,attack,Foot,FALSE
221,2015/3/17,shot,,24,F,W,San Francisco,CA,TRUE,other,Not fleeing,FALSE
290,2015/3/17,shot,gun,20,M,W,Onalaska,TX,TRUE,attack,Not fleeing,FALSE
292,2015/3/17,shot,unarmed,22,M,H,Sacramento,CA,FALSE,undetermined,Car,FALSE
225,2015/3/18,shot,gun,49,F,W,Glendale,AZ,FALSE,attack,Not fleeing,FALSE
226,2015/3/18,shot,gun,64,M,W,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE
294,2015/3/18,shot,knife,47,M,W,Bakersfield,CA,FALSE,other,Not fleeing,FALSE
228,2015/3/19,shot,box cutter,39,M,W,Lawrence County,AL,TRUE,other,Not fleeing,TRUE
229,2015/3/19,shot,unarmed,18,M,B,Cleveland,OH,FALSE,attack,Not fleeing,FALSE
230,2015/3/19,shot,gun,31,M,W,Middleton,ID,FALSE,attack,Not fleeing,TRUE
265,2015/3/19,shot,gun,16,M,B,Jacksonville,FL,FALSE,attack,Car,FALSE
295,2015/3/19,shot,unarmed,20,M,W,Sumas,WA,TRUE,attack,Not fleeing,FALSE
306,2015/3/19,shot,gun,36,M,W,Bakersfield,CA,FALSE,attack,Not fleeing,FALSE
308,2015/3/20,shot,machete,63,M,B,New Orleans,LA,TRUE,attack,Not fleeing,FALSE
310,2015/3/20,shot,gun,34,M,W,Coal County,OK,FALSE,attack,Not fleeing,FALSE
531,2015/3/20,shot,gun,24,M,N,Red Valley,AZ,FALSE,attack,Car,FALSE
235,2015/3/21,shot,gun,21,M,W,Cottonwood,AZ,FALSE,attack,Not fleeing,FALSE
309,2015/3/21,shot,gun,44,M,W,Clarendon,NY,FALSE,attack,Car,FALSE
311,2015/3/21,shot,gun,60,M,W,Harmony,IN,TRUE,attack,Not fleeing,FALSE
312,2015/3/21,shot,gun,42,M,W,Columbus,OH,FALSE,attack,Not fleeing,FALSE
231,2015/3/22,shot,knife,37,M,W,Vallejo,CA,TRUE,other,Not fleeing,FALSE
233,2015/3/22,shot and Tasered,knife,36,M,W,Portland,OR,TRUE,other,Foot,FALSE
234,2015/3/22,shot and Tasered,undetermined,21,M,B,Islip,NY,FALSE,attack,Car,FALSE
237,2015/3/23,shot,gun,24,M,B,Santa Clara,CA,FALSE,attack,Not fleeing,FALSE
238,2015/3/24,shot,gun,29,M,B,Portsmouth,VA,TRUE,attack,Car,FALSE
247,2015/3/24,shot,gun,57,M,W,San Jose,CA,TRUE,attack,Not fleeing,FALSE
313,2015/3/24,shot,gun,38,M,W,Fond du Lac,WI,FALSE,attack,Not fleeing,FALSE
239,2015/3/25,shot,undetermined,23,M,B,Smyrna,GA,FALSE,other,Car,TRUE
240,2015/3/25,shot,gun,27,M,B,Johnsonville,SC,FALSE,attack,Foot,FALSE
241,2015/3/25,shot,gun,28,M,H,South Los Angeles,CA,FALSE,attack,Foot,FALSE
242,2015/3/25,shot and Tasered,gun,63,M,W,Glendale,AZ,TRUE,other,Not fleeing,FALSE
246,2015/3/26,shot,gun,53,F,W,Gardner,KS,FALSE,attack,Not fleeing,FALSE
250,2015/3/26,shot,knife,35,M,H,Wilmington,CA,TRUE,other,Not fleeing,FALSE
245,2015/3/27,shot,knife,26,F,B,Oxnard,CA,FALSE,other,Not fleeing,FALSE
251,2015/3/27,shot,gun,42,M,W,Fort Ashby,WV,FALSE,attack,Car,FALSE
254,2015/3/27,shot,gun,41,M,B,Boston,MA,FALSE,attack,Not fleeing,FALSE
256,2015/3/27,shot,gun,56,M,W,Encinitas,CA,TRUE,attack,Not fleeing,FALSE
257,2015/3/27,shot,knife,39,M,B,Fort Pierce,FL,FALSE,other,Not fleeing,FALSE
258,2015/3/27,shot,toy weapon,23,M,H,Bakersfield,CA,FALSE,attack,Car,FALSE
316,2015/3/27,shot,gun,40,M,W,Webster,MA,FALSE,attack,Foot,FALSE
252,2015/3/29,shot,gun,29,M,B,Elizabethtown,KY,FALSE,attack,Not fleeing,FALSE
264,2015/3/29,shot,,26,M,W,Jasper,OH,FALSE,attack,Car,FALSE
244,2015/3/30,shot,gun,54,M,,Boulder City,NV,FALSE,attack,Not fleeing,FALSE
262,2015/3/30,shot,gun,49,M,W,Eugene,OR,TRUE,attack,Not fleeing,FALSE
259,2015/3/31,shot,gun,36,M,W,Carollwood,FL,FALSE,attack,Not fleeing,FALSE
261,2015/3/31,shot,toy weapon,21,M,H,Baytown,TX,FALSE,attack,Not fleeing,FALSE
263,2015/3/31,shot,,27,F,B,Fort Meade,MD,FALSE,other,Car,FALSE
267,2015/4/1,shot,gun,37,M,B,Hawthorne,CA,FALSE,attack,Not fleeing,FALSE
533,2015/4/1,shot,knife,36,M,W,Hamilton,NJ,FALSE,attack,Not fleeing,FALSE
286,2015/4/2,shot,gun,32,M,B,Rock Island,IL,FALSE,attack,Foot,FALSE
291,2015/4/2,shot,unarmed,44,M,B,Tulsa,OK,FALSE,other,Not fleeing,FALSE
303,2015/4/2,shot,gun,27,M,W,Pineville,LA,TRUE,attack,Not fleeing,FALSE
288,2015/4/2,shot and Tasered,gun,63,M,W,Metropolis,IL,TRUE,attack,Not fleeing,FALSE
299,2015/4/3,shot,knife,38,M,W,Winchester,VA,FALSE,other,Not fleeing,TRUE
296,2015/4/4,shot,gun,17,M,B,Zion,IL,FALSE,attack,Foot,FALSE
300,2015/4/4,shot,gun,31,M,B,Orange,CA,FALSE,attack,Not fleeing,TRUE
302,2015/4/4,shot,gun,34,M,W,Edgewood,NM,TRUE,attack,Car,FALSE
297,2015/4/4,shot and Tasered,unarmed,50,M,B,North Charleston,SC,FALSE,other,Foot,FALSE
301,2015/4/5,shot,knife,51,M,W,Phoenix,AZ,TRUE,other,Not fleeing,FALSE
304,2015/4/5,shot,gun,56,M,W,Tehachapi,CA,FALSE,attack,Not fleeing,FALSE
298,2015/4/6,shot,gun,23,M,W,Indianapolis,IN,TRUE,attack,Not fleeing,FALSE
318,2015/4/6,shot,gun,25,M,B,Harvey,LA,FALSE,attack,Foot,FALSE
322,2015/4/6,shot,gun,31,M,W,Jefferson County,ID,FALSE,attack,Car,FALSE
319,2015/4/7,shot,gun,32,M,W,Pottawatomie County,OK,FALSE,attack,Car,FALSE
329,2015/4/8,shot,gun,60,M,W,San Antonio,TX,FALSE,attack,Car,FALSE
330,2015/4/8,shot,,42,M,B,Valdosta,GA,FALSE,attack,Car,FALSE
331,2015/4/8,shot,gun,39,M,H,Los Angeles,CA,FALSE,attack,Foot,FALSE
359,2015/4/8,shot,knife,28,M,A,Sunnyvale,CA,TRUE,other,Not fleeing,FALSE
332,2015/4/9,shot,sword,22,M,W,Navarre,FL,FALSE,attack,Not fleeing,FALSE
333,2015/4/9,shot,gun,29,M,B,Monon,IN,FALSE,attack,Car,FALSE
340,2015/4/9,shot,gun,31,M,W,Straban Township,PA,TRUE,attack,Not fleeing,FALSE
343,2015/4/9,shot,gun,28,M,W,Boiling Springs,SC,FALSE,attack,Not fleeing,FALSE
534,2015/4/9,shot and Tasered,,54,M,,Kellyville,OK,FALSE,attack,Other,FALSE
335,2015/4/10,shot,knife,21,M,H,Corning,CA,FALSE,attack,Not fleeing,FALSE
377,2015/4/10,shot,gun,38,M,W,Topeka,KS,FALSE,attack,Car,FALSE
358,2015/4/11,shot,gun,66,M,W,Sand Springs,OK,TRUE,attack,Not fleeing,TRUE
355,2015/4/12,shot,gun,36,M,B,Indianapolis,IN,FALSE,attack,Foot,TRUE
357,2015/4/12,shot,machete,83,M,W,Oklahoma City,OK,TRUE,other,Not fleeing,FALSE
362,2015/4/12,shot,gun,32,M,W,Salemburg,NC,TRUE,attack,Car,FALSE
356,2015/4/13,shot,gun,27,M,H,Alton,IL,FALSE,attack,Not fleeing,FALSE
363,2015/4/14,shot,undetermined,26,M,B,DeSoto,TX,FALSE,undetermined,Foot,FALSE
364,2015/4/14,shot,machete,31,M,W,Jonesboro,AR,TRUE,attack,Not fleeing,FALSE
365,2015/4/15,shot,gun,22,M,B,Miami,FL,FALSE,undetermined,Foot,FALSE
366,2015/4/15,shot,knife,41,M,B,Spartanburg,SC,FALSE,attack,Not fleeing,FALSE
